Georgian_last_names
Abakelia
Abashidze
Abashidze
Abazasdze
Abkhazi
Abramashvili
Abramidze
Abramishvili
Abuladze
Abuletisdze
Abuserisdze
Adamia
Adeishvili
Agiashvili
Agniashvili
Akhalaia
Akhalkatsi
Akhaltsikheli
Akhvlediani
Aladashvili
Alasania
Alavidze
Aleksi-Meskhishvili
Aleksidze
Amashukeli
Amilakhvari
Amirejibi
Amisulashvili
Ananidze
Andronikashvili
Anjaparidze
Apakidze
Apkhazava
Arabidze
Arghutashvili
Arveladze
Arziani
Asatiani
Ashvetia
Aslanadze
Avalishvili
Babadishvili
Bagration-Davitishvili
Bagration-Mukhraneli
Bagrationi
Bakhsoliani
Bakhtadze
Bakradze
Balanchivadze
Balashvili
Balavadze
Barabadze
Baramidze
Baratashvili
Basilashvili
Bediashvili
Begtabegishvili
Benashvili
Beradze
Beria
Beridze
Bigvava
Bobokhidze
Bochorishvili
Bolkvadze
Botkoveli
Bregvadze
Bugadze
Buniatishvili
Burchuladze
Burduli
Chabukiani
Chachkhiani
Chachua
Chakvetadze
Chaladze
Chankotadze
Chanturia
Charkviani
Chavchavadze
Chedia
Chelebadze
Chelidze
Cherkezishvili
Chiaureli
Chiburdanidze
Chichinadze
Chichua
Chichveishvili
Chijavadze
Chikhradze
Chikovani
Chivadze
Chkhaidze
Chkhartishvili
Chkheidze
Chkhenkeli
Chkhetiani
Chkhetidze
Chkhikvadze
Chkhotua
Chkonia
Cholokashvili
Dadeshkeliani
Dadishkeliani
Daneliya
Daraselia
Darchidze
Datunashvili
Daushvili
Davitashvili
Dekanosidze
Demetradze
Dgebuadze
Dgebuadze
Diasamidze
Dighmelashvili
Dolidze
Donauri
Dongvani
Dumbadze
Dvali
Dvalishvili
Dzhugashvili
Eliava
Eristavi
Esadze
Gabashvili
Gabriadze
Gachechiladze
Gamkrelidze
Gamrekeli
Gamsakhurdia
Gandzieli-Gegelia
Gaprindashvili
Garakanidze
Garibashvili
Garsevanishvili
Gedevanishvili
Gegechkori
Gegeshidze
Geladze
Gelashvili
Giorgadze
Glonti
Gloveli
Gochashvili
Gogiashvili
Gogokhia
Gogoladze
Gokieli
Gomiashvili
Gongadze
Gorgodze
Gotsiridze
Gugava
Gugunava
Guramishvili
Gurgenidze
Guruli
Gvaladze
Gvazava
Gvenetadze
Dadiani
Gelovani
Gurieli
Jaqeli
Shervashidze
Tbeli
Toreli
Iashvili
Imedashvili
Iosava
Ioseliani
Ivanishvili
Izoria
Janashia
Jandieri
Janelidze
Janjgava
Japaridze
Javakhishvili
Jeladze
Jishkariani
Jorjadze
Jugeli
Kakabadze
Kakashvili
Kakhaberidze
Kaladze
Kancheli
Kandelaki
Kapanadze
Kashibadze
Katamadze
Kavkasidze
Kavtaradze
Kazbegi family
Kereselidze
Ketsbaia
Khalvashi
Kherkheulidze
Khidirbegishvili
Khimshiashvili
Khizanishvili
Khojaminasishvili
Khomeriki
Khorava
Khujadze
Khurtsidze
Khurtsilava
Khutsishvili
Kiknadze
Kipiani
Kldiashvili
Kobaladze
Kobulashvili
Kochakidze
Koridze
Kotrikadze
Kumaritashvili
Kurashvili
Kvaratskhelia
Kvirikashvili
Lazarashvili
Licheli
Lionidze
Liparitids
Liparteliani
Lobzhanidze
Lomidze
Lortkipanidze
Lortkipanidze
Machabeli
Machaidze
Machavariani
Machutadze
Maghalashvili
Maisuradze
Makashvili
Makharadze
Mamardashvili
Mamasakhlisi
Mamulia
Manvelishvili
Margania
Margvelashvili
Mchedlidze
Mchedlishvili
Mdivani
Melia
Melikishvili
Melkadze
Melua
Meskhi
Metreveli
Mgaloblishvili
Mgeladze
Mikadze
Mikeladze
Mildiani
Mirimanidze
Mkheidze
Modebadze
Mukhraneli
Mzhavanadze
Nakani
Nakashidze
Nanava
Natsvlishvili
Navrozashvili
Nemsadze
Nikoladze
Nizharadze
Nogaideli
Nozadze
Nutsubidze
Okruashvili
Oniani
Orbeliani
Ordzhonikidze
Palavandishvili
Paliashvili
Panjikidze
Patarava
Patarkatsishvili
Pavlenishvili
Petriashvili
Petviashvili
Pichkhadze
Pirtskhalaishvili
Pkheidze
Rapava
Ratishvili
Razmadze
Rcheulishvili
Rekhviashvili
Revazishvili
Revazov
Robitashvili
Rurua
Rusishvili
Saakadze
Sabauri
Sakandelidze
Salukvadze
Sanadze
Shaburidze
Shalikashvili
Shavdatuashvili
Shengelia
Shermadini
Shervashidze
Shetekauri
Shevardnadze
Shukvani
Shvelidze
Sichinava
Sidamon-Eristavi
House of Sidamoni
Sologashvili
Subari
Sukhishvili
Surameli
Svanidze
Tabidze
Taktakishvili
Talakhadze
Tarkhan-Mouravi
Tarkhnishvili
Tatishvili
Tavdgiridze
Tetrashvili
Tevzadze
Tkeshelashvili
Todua
Tsereteli
Tsiklauri
Tsimakuridze
Tsinamdzgvrishvili
Tsintsadze
Tsirekidze
Tsiskaridze
Tsitsishvili
Tskitishvili
Tsulukiani
Tsulukidze
Tsutskiridze
Tugushi
Tumanishvili
Tushishvili
Tusishvili
Ujmajuridze
Undiladze
Urushadze
Usupashvili
Vachnadze
Vakhvakhishvili
Vardzelashvili
Vashadze
Vashakidze
Vezirishvili
Virsaladze
Zaalishvili
Zhorzholiani
Zhvania
Zoidze
Zurabishvili
